"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.1","2","131567","22732","1000000",NA,"Bacteria","superkingdom",NA
"ubiome_bacteriacounts.2","201174","2","21199","932562",NA,"Actinobacteria","phylum","73C7D7"
"ubiome_bacteriacounts.3","1760","201174","21199","932562",NA,"Actinobacteria","class",NA
"ubiome_bacteriacounts.4","85003","1760","21193","932298",NA,"Actinobacteridae","subclass",NA
"ubiome_bacteriacounts.5","2037","85003","21193","932298",NA,"Actinomycetales","order",NA
"ubiome_bacteriacounts.6","85007","2037","20730","911930",NA,"Corynebacterineae","suborder",NA
"ubiome_bacteriacounts.7","1653","85007","20725","911710",NA,"Corynebacteriaceae","family",NA
"ubiome_bacteriacounts.8","1716","1653","20708","910963",NA,"Corynebacterium","genus",NA
"ubiome_bacteriacounts.9","1239","2","1193","52481",NA,"Firmicutes","phylum","5E6591"
"ubiome_bacteriacounts.10","441501","1716","1172","51557",NA,"Corynebacterium massiliense","species",NA
"ubiome_bacteriacounts.11","91061","1239","800","35193",NA,"Bacilli","class",NA
"ubiome_bacteriacounts.12","1385","91061","747","32861",NA,"Bacillales","order",NA
"ubiome_bacteriacounts.13","1281","1279","740","32553",NA,"Staphylococcus carnosus","species",NA
"ubiome_bacteriacounts.14","90964","1385","740","32553",NA,"Staphylococcaceae","family",NA
"ubiome_bacteriacounts.15","1279","90964","740","32553",NA,"Staphylococcus","genus",NA
"ubiome_bacteriacounts.16","702953","1716","513","22567",NA,"Corynebacterium sp. NML00-0156","species",NA
"ubiome_bacteriacounts.17","186801","1239","393","17288",NA,"Clostridia","class",NA
"ubiome_bacteriacounts.18","186802","186801","393","17288",NA,"Clostridiales","order",NA
"ubiome_bacteriacounts.19","43765","1716","346","15221",NA,"Corynebacterium amycolatum","species",NA
"ubiome_bacteriacounts.20","538999","186802","322","14165",NA,"Clostridiales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.21","543310","538999","317","13945",NA,"Clostridiales Family XI. Incertae Sedis","family",NA
"ubiome_bacteriacounts.22","85006","2037","247","10866",NA,"Micrococcineae","suborder",NA
"ubiome_bacteriacounts.23","165779","543310","227","9986",NA,"Anaerococcus","genus",NA
"ubiome_bacteriacounts.24","57171","1716","221","9722",NA,"Corynebacterium mucifaciens","species",NA
"ubiome_bacteriacounts.25","2049","85005","216","9502",NA,"Actinomycetaceae","family",NA
"ubiome_bacteriacounts.26","85005","2037","216","9502",NA,"Actinomycineae","suborder",NA
"ubiome_bacteriacounts.27","1654","2049","207","9106",NA,"Actinomyces","genus",NA
"ubiome_bacteriacounts.28","33007","1654","202","8886",NA,"Actinomyces neuii","species",NA
"ubiome_bacteriacounts.29","36739","85020","190","8358",NA,"Dermabacter","genus",NA
"ubiome_bacteriacounts.30","85020","85006","190","8358",NA,"Dermabacteraceae","family",NA
"ubiome_bacteriacounts.31","36740","36739","188","8270",NA,"Dermabacter hominis","species",NA
"ubiome_bacteriacounts.32","976","68336","158","6951",NA,"Bacteroidetes","phylum","e65848"
"ubiome_bacteriacounts.33","68336","2","158","6951",NA,"Bacteroidetes/Chlorobi group","superphylum",NA
"ubiome_bacteriacounts.34","1224","2","148","6511",NA,"Proteobacteria","phylum","2ab69d"
