"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.1","2","131567","64297","1000000",NA,"Bacteria","superkingdom",NA
"ubiome_bacteriacounts.2","1239","2","38771","602999",NA,"Firmicutes","phylum","5E6591"
"ubiome_bacteriacounts.3","91061","1239","34430","535484",NA,"Bacilli","class",NA
"ubiome_bacteriacounts.4","186826","91061","19723","306748",NA,"Lactobacillales","order",NA
"ubiome_bacteriacounts.5","1300","186826","18111","281677",NA,"Streptococcaceae","family",NA
"ubiome_bacteriacounts.6","1301","1300","18057","280837",NA,"Streptococcus","genus",NA
"ubiome_bacteriacounts.7","1385","91061","14707","228735",NA,"Bacillales","order",NA
"ubiome_bacteriacounts.8","539738","539002","14662","228036",NA,"Bacillales Family XI. Incertae Sedis","no_rank",NA
"ubiome_bacteriacounts.9","539002","1385","14662","228036",NA,"Bacillales incertae sedis","no_rank",NA
"ubiome_bacteriacounts.10","1378","539738","14656","227942",NA,"Gemella","genus",NA
"ubiome_bacteriacounts.11","1379","1378","14046","218455",NA,"Gemella haemolysans","species",NA
"ubiome_bacteriacounts.12","976","68336","8986","139758",NA,"Bacteroidetes","phylum","e65848"
"ubiome_bacteriacounts.13","68336","2","8986","139758",NA,"Bacteroidetes/Chlorobi group","superphylum",NA
"ubiome_bacteriacounts.14","171549","200643","7562","117610",NA,"Bacteroidales","order",NA
"ubiome_bacteriacounts.15","200643","976","7562","117610",NA,"Bacteroidia","class",NA
"ubiome_bacteriacounts.16","1224","2","6968","108372",NA,"Proteobacteria","phylum","2ab69d"
"ubiome_bacteriacounts.17","171552","171549","5863","91186",NA,"Prevotellaceae","family",NA
"ubiome_bacteriacounts.18","838","171552","5668","88153",NA,"Prevotella","genus",NA
"ubiome_bacteriacounts.19","203490","32066","5215","81108",NA,"Fusobacteriia","class",NA
"ubiome_bacteriacounts.20","32066","2","5215","81108",NA,"Fusobacteria","phylum",NA
"ubiome_bacteriacounts.21","203491","203490","5215","81108",NA,"Fusobacteriales","order",NA
"ubiome_bacteriacounts.22","1236","1224","4291","66737",NA,"Gammaproteobacteria","class",NA
"ubiome_bacteriacounts.23","135625","1236","4209","65462",NA,"Pasteurellales","order",NA
"ubiome_bacteriacounts.24","712","135625","4209","65462",NA,"Pasteurellaceae","family",NA
"ubiome_bacteriacounts.25","1760","201174","4094","63673",NA,"Actinobacteria","class",NA
"ubiome_bacteriacounts.26","201174","2","4094","63673",NA,"Actinobacteria","phylum","73C7D7"
"ubiome_bacteriacounts.27","2037","85003","3975","61822",NA,"Actinomycetales","order",NA
"ubiome_bacteriacounts.28","85003","1760","3975","61822",NA,"Actinobacteridae","subclass",NA
"ubiome_bacteriacounts.29","713","712","3682","57266",NA,"Actinobacillus","genus",NA
"ubiome_bacteriacounts.30","51048","713","3682","57266",NA,"Actinobacillus porcinus","species",NA
"ubiome_bacteriacounts.31","31977","909929","3203","49816",NA,"Veillonellaceae","family",NA
"ubiome_bacteriacounts.32","909932","1239","3203","49816",NA,"Negativicutes","class",NA
"ubiome_bacteriacounts.33","909929","909932","3203","49816",NA,"Selenomonadales","order",NA
