,taxon,parent,count,count_norm,avg,tax_name,tax_rank,tax_color
ubiome_bacteriacounts.1,2,131567,252684,1000000,NA,Bacteria,superkingdom,NA
ubiome_bacteriacounts.2,1239,2,157391,622877,NA,Firmicutes,phylum,5E6591
ubiome_bacteriacounts.3,186801,1239,150203,594430,NA,Clostridia,class,NA
ubiome_bacteriacounts.4,186802,186801,150137,594169,NA,Clostridiales,order,NA
ubiome_bacteriacounts.5,68336,2,64620,255734,NA,Bacteroidetes/Chlorobi group,superphylum,NA
ubiome_bacteriacounts.6,976,68336,64618,255727,NA,Bacteroidetes,phylum,e65848
ubiome_bacteriacounts.7,200643,976,64570,255537,NA,Bacteroidia,class,NA
ubiome_bacteriacounts.8,171549,200643,64514,255315,NA,Bacteroidales,order,NA
ubiome_bacteriacounts.9,541000,186802,62481,247269,NA,Ruminococcaceae,family,NA
ubiome_bacteriacounts.10,815,171549,37628,148913,NA,Bacteroidaceae,family,NA
ubiome_bacteriacounts.11,816,815,36971,146313,NA,Bacteroides,genus,NA
ubiome_bacteriacounts.12,186803,186802,34977,138422,NA,Lachnospiraceae,family,NA
ubiome_bacteriacounts.13,216851,541000,27170,107526,NA,Faecalibacterium,genus,NA
ubiome_bacteriacounts.14,853,216851,25160,99571,NA,Faecalibacterium prausnitzii,species,NA
ubiome_bacteriacounts.15,990719,186802,20868,82585,NA,Christensenellaceae,family,NA
ubiome_bacteriacounts.16,171551,171549,19252,76190,NA,Porphyromonadaceae,family,NA
ubiome_bacteriacounts.17,310297,816,18734,74140,NA,Bacteroides plebeius,species,NA
ubiome_bacteriacounts.18,1263,541000,13016,51511,NA,Ruminococcus,genus,NA
ubiome_bacteriacounts.19,283168,171551,10370,41039,NA,Odoribacter,genus,NA
ubiome_bacteriacounts.20,31979,186802,10197,40355,NA,Clostridiaceae,family,NA
ubiome_bacteriacounts.21,33042,186803,10071,39856,NA,Coprococcus,genus,NA
ubiome_bacteriacounts.22,537278,33042,9256,36631,NA,Coprococcus sp. DJF_CR49,species,NA
ubiome_bacteriacounts.23,1485,31979,8847,35012,NA,Clostridium,genus,NA
ubiome_bacteriacounts.24,626933,283168,8684,34367,NA,Odoribacter laneus,species,NA
ubiome_bacteriacounts.25,49928,2323,8457,33469,NA,unclassified Bacteria (miscellaneous),no_rank,NA
ubiome_bacteriacounts.26,2323,2,8457,33469,NA,unclassified Bacteria,no_rank,NA
ubiome_bacteriacounts.27,51290,2,8351,33049,NA,Chlamydiae/Verrucomicrobia group,superphylum,NA
ubiome_bacteriacounts.28,572511,186803,8187,32400,NA,Blautia,genus,NA
ubiome_bacteriacounts.29,74201,51290,7922,31351,NA,Verrucomicrobia,phylum,fdc536
ubiome_bacteriacounts.30,203557,48461,7914,31320,NA,Verrucomicrobiaceae,family,NA
ubiome_bacteriacounts.31,203494,74201,7914,31320,NA,Verrucomicrobiae,class,NA
ubiome_bacteriacounts.32,48461,203494,7914,31320,NA,Verrucomicrobiales,order,NA
ubiome_bacteriacounts.33,239934,203557,7823,30960,NA,Akkermansia,genus,NA
ubiome_bacteriacounts.34,1224,2,7521,29764,NA,Proteobacteria,phylum,2ab69d
ubiome_bacteriacounts.35,1531,1485,7303,28902,NA,Clostridium clostridioforme,species,NA
ubiome_bacteriacounts.36,204516,816,7191,28458,NA,Bacteroides massiliensis,species,NA
ubiome_bacteriacounts.37,820,816,6174,24434,NA,Bacteroides uniformis,species,NA
ubiome_bacteriacounts.38,1146296,49928,5224,20674,NA,bacterium NLAE-zl-P430,species,NA
ubiome_bacteriacounts.39,171550,171549,5213,20631,NA,Rikenellaceae,family,NA
ubiome_bacteriacounts.40,239759,171550,5119,20259,NA,Alistipes,genus,NA
ubiome_bacteriacounts.41,397864,171551,4406,17437,NA,Barnesiella,genus,NA
ubiome_bacteriacounts.42,487174,397864,3662,14492,NA,Barnesiella intestinihominis,species,NA
ubiome_bacteriacounts.43,742817,626933,3482,13780,NA,Odoribacter laneus YIT 12061,no_rank,NA
ubiome_bacteriacounts.44,841,186803,3425,13554,NA,Roseburia,genus,NA
ubiome_bacteriacounts.45,28216,1224,3418,13527,NA,Betaproteobacteria,class,NA
ubiome_bacteriacounts.46,80840,28216,3393,13428,NA,Burkholderiales,order,NA
ubiome_bacteriacounts.47,375288,171551,2989,11829,NA,Parabacteroides,genus,NA
ubiome_bacteriacounts.48,186804,186802,2971,11758,NA,Peptostreptococcaceae,family,NA
ubiome_bacteriacounts.49,1201878,49928,2909,11512,NA,bacterium NLAE-zl-H54,species,NA
ubiome_bacteriacounts.50,526524,1239,2885,11417,NA,Erysipelotrichia,class,NA
